longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value
-122.29,37.81,26,768,152.0,392,127,1.7719,0,0,0,1,0,82500
-122.29,37.81,46,935,297.0,582,277,0.7286,0,0,0,1,0,95200
-122.29,37.81,49,844,204.0,560,152,1.75,0,0,0,1,0,75000
-122.29,37.81,46,12,4.0,18,7,0.4999,0,0,0,1,0,67500
-122.29,37.81,20,835,161.0,290,133,2.483,0,0,0,1,0,137500
-122.28,37.81,17,1237,462.0,762,439,0.9241,0,0,0,1,0,177500
-122.28,37.81,36,2914,562.0,1236,509,2.4464,0,0,0,1,0,102100
-122.28,37.81,19,1207,243.0,721,207,1.1111,0,0,0,1,0,108300
-122.29,37.81,23,1745,374.0,1054,325,0.8026,0,0,0,1,0,112500
-122.28,37.8,38,684,176.0,344,155,2.0114,0,0,0,1,0,131300
-122.28,37.81,17,924,289.0,609,289,1.5,0,0,0,1,0,162500
-122.27,37.81,52,210,56.0,183,56,1.1667,0,0,0,1,0,112500
-122.28,37.81,52,340,97.0,200,87,1.5208,0,0,0,1,0,112500
-122.28,37.81,52,386,164.0,346,155,0.8075,0,0,0,1,0,137500
-122.28,37.81,35,948,184.0,467,169,1.8088,0,0,0,1,0,118800
-122.28,37.81,52,773,143.0,377,115,2.4083,0,0,0,1,0,98200
-122.27,37.81,40,880,451.0,582,380,0.977,0,0,0,1,0,118800
-122.27,37.81,10,875,348.0,546,330,0.76,0,0,0,1,0,162500
-122.27,37.8,10,105,42.0,125,39,0.9722,0,0,0,1,0,137500
-122.27,37.8,52,249,78.0,396,85,1.2434,0,0,0,1,0,500001
-122.27,37.8,16,994,392.0,800,362,2.0938,0,0,0,1,0,162500
-122.28,37.8,52,215,87.0,904,88,0.8668,0,0,0,1,0,137500
-122.28,37.8,52,96,31.0,191,34,0.75,0,0,0,1,0,162500
-122.27,37.79,27,1055,347.0,718,302,2.6354,0,0,0,1,0,187500
-122.27,37.8,39,1715,623.0,1327,467,1.8477,0,0,0,1,0,179200
-122.26,37.8,36,5329,2477.0,3469,2323,2.0096,0,0,0,1,0,130000
-122.26,37.82,31,4596,1331.0,2048,1180,2.8345,0,0,0,1,0,183800
-122.26,37.81,29,335,107.0,202,91,2.0062,0,0,0,1,0,125000
-122.26,37.82,22,3682,1270.0,2024,1250,1.2185,0,0,0,1,0,170000
-122.26,37.82,37,3633,1085.0,1838,980,2.6104,0,0,0,1,0,193100
-122.25,37.81,29,4656,1414.0,2304,1250,2.4912,0,0,0,1,0,257800
-122.25,37.81,28,5806,1603.0,2563,1497,3.2177,0,0,0,1,0,273400
-122.25,37.81,39,854,242.0,389,228,3.125,0,0,0,1,0,237500
-122.25,37.81,52,2155,701.0,895,613,2.5795,0,0,0,1,0,350000
-122.26,37.81,34,5871,1914.0,2689,1789,2.8406,0,0,0,1,0,335700
-122.24,37.82,52,1509,225.0,674,244,4.9306,0,0,0,1,0,313400
-122.24,37.81,52,2026,482.0,709,456,3.2727,0,0,0,1,0,268500
-122.25,37.81,52,1758,460.0,686,422,3.1691,0,0,0,1,0,259400
-122.24,37.82,52,3481,751.0,1444,718,3.9,0,0,0,1,0,275700
-122.25,37.82,28,3337,855.0,1520,802,3.9063,0,0,0,1,0,225000
-122.25,37.82,52,1424,289.0,550,253,5.0917,0,0,0,1,0,262500
-122.25,37.82,32,3809,1098.0,1806,1022,2.6429,0,0,0,1,0,218500
-122.25,37.82,26,3959,1196.0,1749,1217,3.0233,0,0,0,1,0,255000
-122.25,37.83,52,2376,559.0,939,519,3.1484,0,0,0,1,0,224100
-122.25,37.83,35,1613,428.0,675,422,3.4722,0,0,0,1,0,243100
-122.25,37.83,52,1279,287.0,534,291,3.1429,0,0,0,1,0,231600
-122.25,37.83,28,5022,1750.0,2558,1661,2.4234,0,0,0,1,0,218500
-122.25,37.83,52,4190,1105.0,1786,1037,3.0897,0,0,0,1,0,234100
-122.23,37.84,50,2515,399.0,970,373,5.8596,0,0,0,1,0,327600
-122.23,37.84,47,3175,454.0,1098,485,5.2868,0,0,0,1,0,347600
-122.24,37.83,41,2576,406.0,794,376,5.956,0,0,0,1,0,366100
-122.24,37.85,37,334,54.0,98,47,4.9643,0,0,0,1,0,335000
-122.23,37.85,52,2800,411.0,1061,403,6.3434,0,0,0,1,0,373600
-122.24,37.84,52,3529,574.0,1177,555,5.1773,0,0,0,1,0,389500
-122.24,37.85,52,2612,365.0,901,367,7.2354,0,0,0,1,0,391100
-122.22,37.85,28,5287,1048.0,2031,956,5.457,0,0,0,1,0,337300
-122.22,37.84,50,2935,473.0,1031,479,7.5,0,0,0,1,0,295200
-122.21,37.84,44,3424,597.0,1358,597,6.0194,0,0,0,1,0,292300
-122.21,37.83,40,4991,674.0,1616,654,7.5544,0,0,0,1,0,411500
-122.2,37.84,30,2211,346.0,844,343,6.0666,0,0,0,1,0,311500
-122.21,37.84,34,3038,490.0,1140,496,7.0548,0,0,0,1,0,325900
-122.19,37.84,18,1617,210.0,533,194,11.6017,0,0,0,1,0,392600
-122.2,37.84,35,2865,460.0,1072,443,7.4882,0,0,0,1,0,319300
-122.21,37.83,34,5065,788.0,1627,766,6.8976,0,0,0,1,0,333300
-122.19,37.83,28,1326,184.0,463,190,8.2049,0,0,0,1,0,335200
-122.2,37.83,26,1589,223.0,542,211,8.401,0,0,0,1,0,351200
-122.19,37.83,29,1791,271.0,661,269,6.8538,0,0,0,1,0,368900
-122.19,37.82,32,1835,264.0,635,263,8.317,0,0,0,1,0,365900
-122.2,37.82,37,1229,181.0,420,176,7.0175,0,0,0,1,0,366700
-122.2,37.82,39,3770,534.0,1265,500,6.3302,0,0,0,1,0,362800
-122.18,37.81,30,292,38.0,126,52,6.3624,0,0,0,1,0,483300
-122.21,37.82,52,2375,333.0,813,350,7.0549,0,0,0,1,0,331400
-122.2,37.81,45,2964,436.0,1067,426,6.7851,0,0,0,1,0,323500
-122.21,37.8,50,2833,605.0,1260,552,2.8929,0,0,0,1,0,216700
-122.21,37.8,38,2254,535.0,951,487,3.0812,0,0,0,1,0,233100
-122.21,37.81,52,1389,212.0,510,224,5.2402,0,0,0,1,0,296400
-122.22,37.81,52,1971,335.0,765,308,6.5217,0,0,0,1,0,273700
-122.22,37.8,52,2183,465.0,1129,460,3.2632,0,0,0,1,0,227700
-122.22,37.8,52,2286,464.0,1073,441,3.0298,0,0,0,1,0,199600
-122.22,37.8,52,2721,541.0,1185,515,4.5428,0,0,0,1,0,239800
-122.22,37.81,52,2024,339.0,756,340,4.072,0,0,0,1,0,270100
-122.22,37.81,52,2944,536.0,1034,521,5.3509,0,0,0,1,0,302100
-122.23,37.8,52,2033,486.0,787,459,3.1603,0,0,0,1,0,269500
-122.23,37.81,52,1433,229.0,612,213,4.7708,0,0,0,1,0,314700
-122.22,37.81,52,2927,402.0,1021,380,8.1564,0,0,0,1,0,390100
-122.23,37.81,52,2315,292.0,861,258,8.8793,0,0,0,1,0,410300
-122.24,37.81,52,2485,313.0,953,327,6.8591,0,0,0,1,0,352400
-122.24,37.81,52,1490,238.0,634,256,6.0302,0,0,0,1,0,287300
-122.23,37.81,52,2814,365.0,878,352,7.508,0,0,0,1,0,348700
-122.24,37.81,52,2093,550.0,918,483,2.7477,0,0,0,1,0,243800
-122.24,37.8,52,888,168.0,360,175,2.1944,0,0,0,1,0,211500
-122.25,37.8,52,2087,510.0,1197,488,3.0149,0,0,0,1,0,218400
-122.24,37.81,52,2513,502.0,1048,518,3.675,0,0,0,1,0,269900
-122.25,37.81,46,3232,835.0,1373,747,3.225,0,0,0,1,0,218800
-122.25,37.8,42,4120,1065.0,1715,1015,2.9345,0,0,0,1,0,225000
-122.25,37.8,43,2364,792.0,1359,722,2.1429,0,0,0,1,0,250000
-122.25,37.8,41,1471,469.0,1062,413,1.6121,0,0,0,1,0,171400
-122.25,37.8,29,2468,864.0,1335,773,1.3929,0,0,0,1,0,193800
-122.24,37.79,27,1632,492.0,1171,429,2.3173,0,0,0,1,0,125000
-122.25,37.79,45,1786,526.0,1475,460,1.7772,0,0,0,1,0,97500
-122.25,37.79,50,629,188.0,742,196,2.6458,0,0,0,1,0,125000
-122.25,37.79,52,1339,391.0,1086,363,2.181,0,0,0,1,0,138800
-122.25,37.8,36,1678,606.0,1645,543,2.2303,0,0,0,1,0,116700
-122.25,37.8,43,2344,647.0,1710,644,1.6504,0,0,0,1,0,151800
-122.24,37.8,52,996,228.0,731,228,2.2697,0,0,0,1,0,127000
-122.24,37.8,52,1591,373.0,1118,347,2.1563,0,0,0,1,0,128600
-122.24,37.8,52,1586,398.0,1006,335,2.1348,0,0,0,1,0,140600
-122.24,37.8,47,2046,588.0,1213,554,2.6292,0,0,0,1,0,182700
-122.23,37.8,52,1192,289.0,772,257,2.3833,0,0,0,1,0,146900
-122.24,37.8,52,1803,420.0,1321,401,2.957,0,0,0,1,0,122800
-122.24,37.8,49,2838,749.0,1487,677,2.5238,0,0,0,1,0,169300
-122.23,37.8,52,783,184.0,488,186,1.9375,0,0,0,1,0,126600
-122.23,37.8,51,1590,414.0,949,392,1.9028,0,0,0,1,0,127900
-122.23,37.8,50,1746,480.0,1149,415,2.25,0,0,0,1,0,123500
-122.23,37.8,52,1252,299.0,844,280,2.3929,0,0,0,1,0,111900
-122.23,37.79,43,5963,1344.0,4367,1231,2.1917,0,0,0,1,0,112800
-122.23,37.79,52,1783,395.0,1659,412,2.9357,0,0,0,1,0,107900
-122.23,37.79,30,999,264.0,1011,263,1.8854,0,0,0,1,0,137500
-122.24,37.79,39,1469,431.0,1464,389,2.1638,0,0,0,1,0,105500
-122.24,37.79,47,1372,395.0,1237,303,2.125,0,0,0,1,0,95500
-122.24,37.79,52,674,180.0,647,168,3.375,0,0,0,1,0,116100
-122.24,37.79,43,1626,376.0,1284,357,2.2542,0,0,0,1,0,112200
-122.25,37.79,51,175,43.0,228,55,2.1,0,0,0,1,0,75000
-122.25,37.79,39,461,129.0,381,123,1.6,0,0,0,1,0,112500
-122.25,37.79,52,902,237.0,846,227,3.625,0,0,0,1,0,125000
-122.26,37.8,20,2373,779.0,1659,676,1.6929,0,0,0,1,0,115000
-122.22,37.77,52,391,128.0,520,138,1.6471,0,0,0,1,0,95000
-122.22,37.77,52,1137,301.0,866,259,2.59,0,0,0,1,0,96400
-122.23,37.77,52,769,206.0,612,183,2.57,0,0,0,1,0,72000
-122.23,37.78,52,472,146.0,415,126,2.6429,0,0,0,1,0,71300
-122.23,37.78,52,862,215.0,994,213,3.0257,0,0,0,1,0,80800
-122.22,37.78,50,1920,530.0,1525,477,1.4886,0,0,0,1,0,128800
-122.23,37.78,43,1420,472.0,1506,438,1.9338,0,0,0,1,0,112500
-122.23,37.78,52,986,258.0,1008,255,1.4844,0,0,0,1,0,119400
-122.23,37.78,44,2340,825.0,2813,751,1.6009,0,0,0,1,0,118100
-122.23,37.79,48,1696,396.0,1481,343,2.0375,0,0,0,1,0,122500
-122.23,37.79,49,1175,217.0,859,219,2.293,0,0,0,1,0,106300
-122.22,37.79,37,2343,574.0,1608,523,2.1494,0,0,0,1,0,132500
-122.23,37.79,30,610,145.0,425,140,1.6198,0,0,0,1,0,122700
-122.23,37.79,40,930,199.0,564,184,1.3281,0,0,0,1,0,113300
-122.22,37.79,44,1487,314.0,961,272,3.5156,0,0,0,1,0,109500
-122.22,37.79,52,3424,690.0,2273,685,3.9048,0,0,0,1,0,164700
-122.21,37.79,52,762,190.0,600,195,3.0893,0,0,0,1,0,125000
-122.22,37.79,46,2366,575.0,1647,527,2.6042,0,0,0,1,0,124700
-122.22,37.79,49,1826,450.0,1201,424,2.5,0,0,0,1,0,136700
-122.22,37.79,38,3049,711.0,2167,659,2.7969,0,0,0,1,0,141700
-122.2,37.79,29,1640,376.0,939,340,2.8321,0,0,0,1,0,150000
-122.21,37.79,47,1543,307.0,859,292,2.9583,0,0,0,1,0,138800
-122.21,37.79,34,2364,557.0,1517,516,2.8365,0,0,0,1,0,139200
-122.21,37.79,35,1745,409.0,1143,386,2.875,0,0,0,1,0,143800
-122.21,37.8,39,2003,500.0,1109,464,3.0682,0,0,0,1,0,156500
-122.21,37.8,39,2018,447.0,1221,446,3.0757,0,0,0,1,0,151000
-122.2,37.8,43,3045,499.0,1115,455,4.9559,0,0,0,1,0,273000
-122.2,37.8,52,1547,293.0,706,268,4.7721,0,0,0,1,0,217100
-122.21,37.8,52,3519,711.0,1883,706,3.4861,0,0,0,1,0,187100
-122.2,37.8,41,2070,354.0,804,340,5.1184,0,0,0,1,0,239600
-122.21,37.8,48,1321,263.0,506,252,4.0977,0,0,0,1,0,229700
-122.19,37.8,48,1694,259.0,610,238,4.744,0,0,0,1,0,257300
-122.19,37.8,46,1938,341.0,768,332,4.2727,0,0,0,1,0,246900
-122.19,37.79,50,968,195.0,462,184,2.9844,0,0,0,1,0,179900
-122.2,37.79,40,1060,256.0,667,235,4.1739,0,0,0,1,0,169600
-122.2,37.8,46,2041,405.0,1059,399,3.8487,0,0,0,1,0,203300
-122.19,37.8,52,1813,271.0,637,277,4.0114,0,0,0,1,0,263400
-122.19,37.79,45,2718,451.0,1106,454,4.6563,0,0,0,1,0,231800
-122.19,37.79,28,3144,761.0,1737,669,2.9297,0,0,0,1,0,140500
-122.2,37.79,35,1802,459.0,1009,390,2.3036,0,0,0,1,0,126000
-122.2,37.79,49,882,195.0,737,210,2.6667,0,0,0,1,0,122000
-122.2,37.79,44,1621,452.0,1354,491,2.619,0,0,0,1,0,134700
-122.21,37.79,45,2115,533.0,1530,474,2.4167,0,0,0,1,0,139400
-122.2,37.79,45,2021,528.0,1410,480,2.7788,0,0,0,1,0,115400
-122.21,37.78,46,2239,508.0,1390,569,2.7352,0,0,0,1,0,137300
-122.21,37.78,52,1477,300.0,1065,269,1.8472,0,0,0,1,0,137000
-122.21,37.78,52,1056,224.0,792,245,2.6583,0,0,0,1,0,142600
-122.21,37.78,49,898,244.0,779,245,3.0536,0,0,0,1,0,137500
-122.22,37.78,44,2968,710.0,2269,610,2.3906,0,0,0,1,0,111700
-122.21,37.78,43,1702,460.0,1227,407,1.7188,0,0,0,1,0,126800
-122.21,37.78,47,881,248.0,753,241,2.625,0,0,0,1,0,111300
-122.22,37.77,40,494,114.0,547,135,2.8015,0,0,0,1,0,114800
-122.22,37.78,50,1776,473.0,1807,440,1.7276,0,0,0,1,0,102300
-122.22,37.78,44,1678,514.0,1700,495,2.0801,0,0,0,1,0,131900
-122.22,37.78,51,1637,463.0,1543,393,2.489,0,0,0,1,0,119100
-122.21,37.76,52,1420,314.0,1085,300,1.7546,0,0,0,1,0,80600
-122.21,37.77,52,591,173.0,353,137,4.0904,0,0,0,1,0,80600
-122.21,37.77,52,745,153.0,473,149,2.6765,0,0,0,1,0,88800
-122.2,37.77,49,2272,498.0,1621,483,2.4338,0,0,0,1,0,102400
-122.21,37.77,46,1234,375.0,1183,354,2.3309,0,0,0,1,0,98700
-122.21,37.77,43,1017,328.0,836,277,2.2604,0,0,0,1,0,100000
-122.19,37.77,42,932,254.0,900,263,1.8039,0,0,0,1,0,92300
-122.2,37.77,39,2689,597.0,1888,537,2.2562,0,0,0,1,0,94800
-122.2,37.77,41,1547,415.0,1024,341,2.0562,0,0,0,1,0,102000
-122.2,37.78,52,2300,443.0,1225,423,3.5398,0,0,0,1,0,158400
-122.2,37.78,39,1752,399.0,1071,376,3.1167,0,0,0,1,0,121600
-122.2,37.78,50,1867,403.0,1128,378,2.5401,0,0,0,1,0,129100
-122.2,37.77,43,2430,502.0,1537,484,2.898,0,0,0,1,0,121400
-122.21,37.78,44,1729,414.0,1240,393,2.3125,0,0,0,1,0,102800
-122.19,37.78,52,1026,180.0,469,168,2.875,0,0,0,1,0,160000
-122.19,37.77,52,2170,428.0,1086,425,3.3715,0,0,0,1,0,143900
-122.19,37.77,52,2329,445.0,1144,417,3.5114,0,0,0,1,0,151200
-122.19,37.78,52,2492,415.0,1109,375,4.3125,0,0,0,1,0,164400
-122.19,37.78,52,2198,397.0,984,369,3.22,0,0,0,1,0,156500
-122.18,37.78,33,142,31.0,575,47,3.875,0,0,0,1,0,225000
-122.19,37.78,49,1183,205.0,496,209,5.2328,0,0,0,1,0,174200
-122.19,37.78,52,1070,193.0,555,190,3.7262,0,0,0,1,0,166900
-122.2,37.78,45,1766,332.0,869,327,4.5893,0,0,0,1,0,163500
-122.18,37.79,39,617,95.0,236,106,5.2578,0,0,0,1,0,253000
-122.18,37.79,41,1411,233.0,626,214,7.0875,0,0,0,1,0,240700
-122.18,37.79,46,2109,387.0,922,329,3.9712,0,0,0,1,0,208100
-122.19,37.79,47,1229,243.0,582,256,2.9514,0,0,0,1,0,198100
-122.19,37.79,50,954,217.0,546,201,2.6667,0,0,0,1,0,172800
-122.18,37.81,37,1643,262.0,620,266,5.4446,0,0,0,1,0,336700
-122.18,37.8,34,1355,195.0,442,195,6.2838,0,0,0,1,0,318200
-122.18,37.8,23,2317,336.0,955,328,6.7527,0,0,0,1,0,285800
-122.13,37.77,24,2459,317.0,916,324,7.0712,0,0,0,1,0,293000
-122.16,37.79,22,12842,2048.0,4985,1967,5.9849,0,0,0,1,0,371000
-122.17,37.78,42,1524,260.0,651,267,3.6875,0,0,0,1,0,157300
-122.17,37.77,30,3326,746.0,1704,703,2.875,0,0,0,1,0,135300
-122.18,37.78,43,1985,440.0,1085,407,3.4205,0,0,0,1,0,136700
-122.18,37.78,50,1642,322.0,713,284,3.2984,0,0,0,1,0,160700
-122.17,37.78,49,893,177.0,468,181,3.875,0,0,0,1,0,140600
-122.17,37.78,52,653,128.0,296,121,4.175,0,0,0,1,0,144000
-122.16,37.77,48,977,194.0,446,180,4.7708,0,0,0,1,0,156300
-122.16,37.77,45,2324,397.0,968,384,3.5739,0,0,0,1,0,176000
-122.16,37.77,39,1583,349.0,857,316,3.0958,0,0,0,1,0,145800
-122.17,37.77,39,1612,342.0,912,322,3.3958,0,0,0,1,0,141900
-122.17,37.77,31,2424,533.0,1360,452,1.871,0,0,0,1,0,90700
-122.17,37.76,41,1594,367.0,1074,355,1.9356,0,0,0,1,0,90600
-122.17,37.76,47,2118,413.0,965,382,2.1842,0,0,0,1,0,107900
-122.18,37.76,37,1575,358.0,933,320,2.2917,0,0,0,1,0,107000
-122.17,37.76,38,1764,397.0,987,354,2.4333,0,0,0,1,0,98200
-122.18,37.76,50,1187,261.0,907,246,1.9479,0,0,0,1,0,89500
-122.18,37.76,52,754,175.0,447,165,3.9063,0,0,0,1,0,93800
-122.18,37.76,49,2308,452.0,1299,451,1.8407,0,0,0,1,0,96700
-122.18,37.77,27,909,236.0,396,157,2.0786,0,0,0,1,0,97500
-122.18,37.77,42,1180,257.0,877,268,2.8125,0,0,0,1,0,97300
-122.18,37.76,43,2018,408.0,1111,367,1.8913,0,0,0,1,0,91200
-122.19,37.76,49,1368,282.0,790,269,1.7056,0,0,0,1,0,91400
-122.18,37.77,52,2744,547.0,1479,554,2.2768,0,0,0,1,0,96200
-122.18,37.77,51,2107,471.0,1173,438,3.2552,0,0,0,1,0,120100
-122.18,37.77,52,1748,362.0,1029,366,2.0556,0,0,0,1,0,100000
-122.19,37.76,52,2024,391.0,1030,350,2.4659,0,0,0,1,0,94700
-122.2,37.76,47,1116,259.0,826,279,1.75,0,0,0,1,0,85700
-122.19,37.77,41,2036,510.0,1412,454,2.0469,0,0,0,1,0,89300
-122.19,37.77,45,1852,393.0,1132,349,2.7159,0,0,0,1,0,101400
-122.19,37.76,41,921,207.0,522,159,1.2083,0,0,0,1,0,72500
-122.19,37.76,45,995,238.0,630,237,1.925,0,0,0,1,0,74100
-122.2,37.75,36,606,132.0,531,133,1.5809,0,0,0,1,0,70000
-122.2,37.76,37,2680,736.0,1925,667,1.4097,0,0,0,1,0,84600
-122.19,37.76,38,1493,370.0,1144,351,0.7683,0,0,0,1,0,81800
-122.19,37.75,19,2207,565.0,1481,520,1.3194,0,0,0,1,0,81400
-122.19,37.75,28,856,189.0,435,162,0.8012,0,0,0,1,0,81800
-122.19,37.76,26,1293,297.0,984,303,1.9479,0,0,0,1,0,85800
-122.19,37.74,36,847,212.0,567,159,1.1765,0,0,0,1,0,87100
-122.18,37.74,42,541,154.0,380,123,2.3456,0,0,0,1,0,83500
-122.19,37.73,44,1066,253.0,825,244,2.1538,0,0,0,1,0,79700
-122.19,37.74,43,707,147.0,417,155,2.5139,0,0,0,1,0,83400
-122.19,37.73,45,1528,291.0,801,287,1.2625,0,0,0,1,0,84700
-122.18,37.73,42,909,215.0,646,198,2.9063,0,0,0,1,0,80000
-122.18,37.73,43,1391,293.0,855,285,2.5192,0,0,0,1,0,76400
-122.18,37.73,44,548,119.0,435,136,2.1111,0,0,0,1,0,79700
-122.18,37.73,42,4074,874.0,2736,780,2.455,0,0,0,1,0,82400
-122.17,37.74,41,1613,445.0,1481,414,2.4028,0,0,0,1,0,97700
-122.17,37.74,47,463,134.0,327,137,2.15,0,0,0,1,0,97200
-122.17,37.74,43,818,193.0,494,179,2.4776,0,0,0,1,0,101600
-122.17,37.73,43,1473,371.0,1231,341,2.1587,0,0,0,1,0,86500
-122.18,37.74,35,504,126.0,323,109,1.8438,0,0,0,1,0,90500
-122.17,37.74,46,1026,226.0,749,225,3.0298,0,0,0,1,0,107600
-122.17,37.74,46,769,183.0,693,178,2.25,0,0,0,1,0,84200
-122.18,37.74,46,2103,391.0,1339,354,2.2467,0,0,0,1,0,88900
-122.18,37.75,45,330,76.0,282,80,4.0469,0,0,0,1,0,80700
-122.18,37.75,46,941,218.0,621,195,1.325,0,0,0,1,0,87100
-122.18,37.75,45,990,261.0,901,260,2.1731,0,0,0,1,0,82000
-122.19,37.75,36,1126,263.0,482,150,1.9167,0,0,0,1,0,82800
-122.18,37.75,43,1036,233.0,652,213,2.069,0,0,0,1,0,84600
